2353
Grain_ID,Active,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,ParentIds,Phases,SurfaceFields,Volumes
66,1,0.552735,0.270621,-0.0633777,-0.0227514,0.11595,0.99097,3.90238,2.28883,0.39476,1.9154,1.05871,0.518347,42.0854,37.43,25.2953,1.93557,3.60272,0.134777,2.91342,243,8,0.476881,1330,1,0,3.79688
67,1,0.696942,0.445255,0.160856,0.305398,-0.0647163,0.936306,3.95471,0.979997,4.2207,2.8481,1.98496,1.26813,18.2825,10.3554,14.6412,3.79463,1.017,0.704842,5.12817,1831,16,0.784775,2149,1,0,28.6094
68,1,0.700748,0.146304,-0.11768,-0.350812,-0.059911,0.927088,0.326008,0.712817,2.73228,2.3257,1.62973,0.340259,18.3409,12.5175,27.1897,2.0436,4.3242,0.75807,1.82992,286,11,0.387346,617,1,0,4.46875
69,1,0.713433,0.679815,0.217293,0.210802,0.229261,0.925087,0.495313,0.936265,0.85013,2.69094,1.9198,1.82934,37.4937,13.6638,24.8491,4.14358,1.01317,0.615141,5.75588,2384,20,0.737767,2243,1,0,37.25
70,1,0.477947,0.247402,-0.253745,0.320085,-0.176022,0.895642,0.891838,0.117426,0,2.17664,1.04032,0.538506,35.5426,8.31803,7.69426,2.08789,2.04704,0.841536,3.84803,305,9,0.707017,530,1,0,4.76562
71,1,0.679226,0.457032,-0.0970138,-0.328591,0.207963,0.91617,2.7649,2.6671,3.14159,3.39408,2.30535,1.5512,5.62733,22.567,3.37021,4.50067,4.64851,0.699394,2.08109,3055,20,0.729585,1103,1,0,47.7344
72,1,0.383137,0.192312,-0.0499573,-0.220593,-0.0727834,0.971363,2.71519,0.579972,6.28319,2.21288,0.847838,0.425564,32.8457,1.47143,3.44857,1.73495,4.41489,0.456307,1.71872,175,11,0.365325,490,1,0,2.73438
73,1,0.757092,0.379437,-0.337158,-0.225655,-0.0246884,0.913671,5.69051,1.3263,3.35406,0.916489,0.693867,0.34775,36.8385,38.7708,4.63021,1.12725,3.70439,0.835497,2.52476,48,5,0.347941,1960,1,0,0.75
74,1,0.506349,0.290884,-0.207284,-0.155901,0.028429,0.96536,4.5909,1.5188,0.465067,5.84885,2.96156,1.70134,43.2985,26.4335,16.7366,5.93457,3.81588,0.524736,2.52618,7004,33,0.547623,376,1,0,109.438
75,1,0.708429,0.654457,-0.336412,0.191123,0.050501,0.920733,5.49779,3.03447,6.28319,0.65238,0.462165,0.426955,7.23438,28.7344,28.7578,0.984745,2.67974,0.794561,3.71304,32,5,0.68551,1664,1,1,0.5
76,1,0.481017,0.474955,-0.138844,0.334118,0.172358,0.916177,4.83909,2.19415,3.86373,0.843271,0.405628,0.400516,3.48485,11.6439,1.34091,0.994898,2.15059,0.740435,4.5045,33,5,0.585661,2135,1,0,0.515625
77,1,0.71123,0.362083,-0.328429,0.0320704,-0.110689,0.937472,4.674,1.80485,2.36931,2.15007,1.5292,0.778505,39.7484,8.09537,27.2825,2.63917,2.92673,0.672588,3.1214,616,12,0.58301,2345,1,1,9.625
78,1,0.689426,0.422841,0.043326,0.0670923,0.311304,0.946948,3.61805,1.20581,1.24424,1.34911,0.930114,0.57046,41.6827,2.19591,28.0263,1.72163,1.31502,0.159901,5.6034,171,10,0.561812,441,1,1,2.67188
79,1,0.783661,0.703431,0.0342483,0.255712,0.290893,0.921314,4.71507,1.59108,1.79055,1.21005,0.948268,0.851186,33.6694,10.371,17.0716,1.94876,1.74349,0.521894,5.15136,248,11,0.762291,2505,1,0,3.875
80,1,0.969249,0.718764,-0.151165,-0.345933,0.226855,0.897784,4.26634,1.63937,0.902125,1.88902,1.83093,1.35776,4.42402,14.6043,24.1503,3.29702,4.54792,0.774231,2.23027,1201,9,0.790154,2225,1,0,18.7656
81,1,0.362965,0.107567,0.30159,0.209984,0.344731,0.863777,2.2601,0.00673936,0.366123,2.43403,0.883467,0.261821,9.73093,27.3665,0.0805085,1.52137,0.987937,0.75262,6.0547,118,12,0.292091,627,1,1,1.84375
82,1,0.778429,0.371645,-0.319716,-0.100885,-0.0953638,0.937288,0.310147,2.80734,1.02769,2.25501,1.75536,0.83806,9.24444,18.3322,8.25927,2.89017,3.34586,0.683753,2.73454,809,16,0.622946,1389,1,0,12.6406
83,1,0.545915,0.271059,0.0509671,-0.042318,-0.267756,0.961207,2.60185,1.07826,1.1015,1.59914,0.872993,0.433461,43.4523,29.0363,27.7901,1.5753,5.31856,0.132585,0.421271,131,4,0.343395,976,1,1,2.04688
84,1,0.637815,0.424953,0.151796,-0.0218388,-0.207611,0.966115,5.04448,0.621478,2.29758,3.21938,2.05337,1.36808,37.2976,9.91171,28.1181,4.0463,5.92862,0.307933,6.2144,2220,15,0.643673,1811,1,1,34.6875
85,1,0.708699,0.535962,0.157107,0.0577448,0.324108,0.931095,0.367904,3.09696,3.14159,3.2341,2.29201,1.73336,25.4351,28.7678,27.5294,4.60762,0.687198,0.33635,6.26594,3278,20,0.780574,27,1,1,51.2188
86,1,0.635345,0.377209,-0.229659,-0.0803907,-0.024492,0.969636,0.529095,0.372565,1.97634,2.84851,1.80979,1.07448,7.53116,25.8952,0.822046,3.45995,3.45305,0.491579,2.77963,1388,17,0.71349,2610,1,1,21.6875
87,1,0.689046,0.638241,-0.149668,0.0744791,0.142985,0.975504,0.437664,0.725678,0,1.39479,0.961072,0.890209,26.4603,43.0017,19.1863,2.08102,2.82538,0.335929,3.74888,302,6,0.749745,846,1,0,4.71875
88,1,0.93199,0.287415,0.287275,-0.246805,-0.224106,0.897963,1.45566,1.73914,1.88472,0.798922,0.744587,0.229623,31.4297,7.13281,28.5938,0.984745,5.32884,0.776856,0.465192,32,4,0.509605,1811,1,1,0.5
89,1,0.780056,0.177632,-0.355154,-0.189607,0.309365,0.861515,1.76308,2.91228,6.28319,1.2997,1.01384,0.230868,15.3659,20.6087,27.7428,1.2722,3.97672,0.828707,2.99597,69,8,0.433527,1627,1,0,1.07812
90,1,0.711995,0.55123,-0.00340307,0.224366,0.210292,0.951538,6.18055,2.09302,0.24721,3.39864,2.41982,1.87344,6.66735,3.62859,12.2191,4.83983,1.80347,0.452638,4.91473,3799,16,0.658218,818,1,0,59.3594
91,1,0.525311,0.279717,-0.0584297,0.229478,-0.22279,0.945669,1.07805,0.33541,0.152487,0.768897,0.40391,0.215074,40.4531,39.5,16.2969,0.781593,1.58875,0.478141,4.2317,16,5,0.569582,1793,1,0,0.25
92,1,0.644755,0.603021,0.0553541,0.0516361,0.244706,0.966638,4.66742,1.87366,4.13605,5.62442,3.62637,3.39164,29.0716,27.8686,10.7244,7.87251,0.998604,0.151542,5.78047,16350,46,0.532653,901,1,0,255.469
93,1,0.950305,0.827168,0.339517,-0.167943,-0.284713,0.880603,0.143883,1.3615,3.76181,1.01281,0.962477,0.837763,30.0204,34.7464,18.1166,1.83779,5.51112,0.776963,0.146652,208,10,0.774068,1386,1,0,3.25
94,1,0.678373,0.606057,0.328524,0.0929707,-0.00597573,0.93989,4.11581,0.850231,1.01297,3.72959,2.53005,2.26034,12.479,9.982,1.64365,5.43771,0.269426,0.696867,6.00104,5388,36,0.742972,2281,1,1,84.1875
95,1,0.591498,0.126954,0.221597,-0.287249,0.141183,0.921113,1.60268,1.58546,3.05597,1.35377,0.800749,0.171866,41.9792,23.7431,3.42361,1.02418,5.52157,0.742522,1.0658,36,4,0.194553,2548,1,0,0.5625
96,1,0.736843,0.637665,0.146793,-0.353051,-0.045196,0.922911,2.67954,0.401118,6.28319,2.27789,1.67845,1.45253,35.1707,6.52794,16.0826,3.45912,5.0575,0.784681,1.12783,1387,25,0.701804,1226,1,0,21.6719
97,1,0.609507,0.249394,0.21512,-0.125975,-0.00942311,0.968383,1.63936,1.59211,3.0929,2.50365,1.52599,0.624397,43.6477,35.0776,14.7531,2.55207,5.74369,0.503897,0.520037,557,7,0.501174,766,1,0,8.70312
98,1,0.689052,0.548294,-0.00764463,0.361547,0.143911,0.921149,4.13391,1.2743,2.26531,1.97267,1.35927,1.0816,17.206,32.7913,19.3333,2.80302,1.74691,0.740026,4.84622,738,9,0.770534,66,1,0,11.5312
99,1,0.611036,0.282682,0.330268,-0.242617,-0.0392843,0.911327,1.24828,1.28308,1.81228,0.763514,0.466535,0.215832,3.05556,30.9444,4.40278,0.812889,5.60653,0.84448,0.590497,18,4,0.508081,736,1,0,0.28125
100,1,0.741217,0.548107,0.152368,0.201086,-0.085086,0.963903,2.34779,1.04059,1.46395,1.80813,1.34022,0.99105,32.7933,38.2386,16.6748,2.63345,0.834323,0.510097,5.27277,612,17,0.776084,1793,1,0,9.5625
101,1,0.692702,0.599214,-0.319126,-0.212859,-0.279687,0.880128,3.83626,1.00406,1.57295,3.38963,2.348,2.03111,35.4258,3.33728,9.27762,4.97208,3.42214,0.787387,2.24567,4119,21,0.77569,2735,1,0,64.3594
102,1,0.615625,0.143972,0.172907,-0.18059,-0.248774,0.935736,0,0,2.67647,0.944968,0.581747,0.136049,6.48684,37.1842,0,0.827672,5.21621,0.5054,0.547281,19,9,0.764209,1140,1,1,0.296875
103,1,0.702346,0.644513,0.0758588,-0.186429,0.154727,0.967238,5.52876,2.67334,3.14159,3.76527,2.64452,2.42676,31.4855,23.9001,5.15908,5.68899,5.25746,0.405311,1.34298,6170,29,0.783855,1048,1,0,96.4062
104,1,0.625896,0.506093,-0.000749827,0.254456,0.0145523,0.966975,5.81125,1.28832,5.18959,4.00107,2.50426,2.02492,31.8423,6.48221,7.90951,5.25971,1.58879,0.514572,4.72449,4876,50,0.578982,1582,1,0,76.1875
105,1,0.809662,0.392947,-0.359203,0.0723173,0.193991,0.910006,0.296236,1.527,5.97586,0.793769,0.642685,0.311909,9.40972,17.7431,0.326389,1.02418,3.15295,0.750297,3.5503,36,5,0.428123,1283,1,1,0.5625
106,1,0.893062,0.726615,0.0890294,-0.265449,0.340285,0.897673,6.12453,2.35076,4.90845,2.1373,1.90874,1.55299,42.6624,10.056,2.20242,3.64962,5.39833,0.567548,1.60953,1629,22,0.811633,1028,1,0,25.4531
107,1,0.773475,0.630128,-0.288969,0.0223982,0.253857,0.922796,4.60732,1.30313,5.97912,2.7276,2.10973,1.71874,34.1259,35.1417,16.8016,4.21589,3.33269,0.588111,3.4874,2511,31,0.761724,341,1,0,39.2344
